Matemática e física
Lógica, algoritmos, teoria da comp,  estruras de dados.
Linguagens e paradigmas.
PAA
Configurar plataformas para softwares e serviços.
Arquiteturas de computadores
Segurança de sis. de comp.
Engenharia de software
Inteligência artificial
Desenvolvimento Web e Mobile
Sistemas microprocessados
Redes de computadores
Software para sistemas de comunicação
Conhecimento em sistemas de automação
Gerenciar projetos e sistemas de computação
Engenharia-econômica
Compreender e resolver problemas
Autoaprendizado
Criatividade e Inovação
Comunicação oral e escrita
Língua inglesa
Empreender e exercer liderança
Trabalho em equipe
