,,,Matemática e física,"Lóg., algor. teoria e estrura de dados.",Ling. e parad.,PAA,Conf. plataformas para softwares e serviços,Arquiteturas de computadores,Seg. de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhec. em sist. de aut.,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,Somatório da linha
,ECOI14,BANCO DE DADOS,,4,2,0,3,0,2,1,0,1,0,1,6,0,3,0,6,6,6,6,0,6,10,65
,EELI10,ELETRÔNICA BÁSICA I,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5,0,6,0,0,0,22
,EELI11,LABORATÓRIO DE ELETRÔNICA BÁSICA I,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,5,6,8,10,0,0,10,51
,FISI06,"LABORATÓRIO FÍSICA B (ELETROMAGNETISMO, ÓTICA E FÍSICA MODERNA)",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,8,1,0,10,33
6o,ECAI29,MODELAGEM E ANÁLISE DE SISTEMAS DINÂMICOS,,,,,,,,,,,,,,,,,,,,,,,,0
,ECOI15,SISTEMAS OPERACIONAIS,,6,4,0,2,2,6,0,0,0,0,1,5,0,5,0,4,5,6,8,1,0,10,70
,ECOI16,ENGENHARIA DE SOFTWARE,,0,0,0,0,0,3,2,0,0,0,0,0,0,8,0,4,7,2,7,0,8,10,52
,ECOI32,CIRCUITOS INTEGRADOS ANALÓGICOS,,,,,,,,,,,,,,,,,,,,,,,,
,EELI12,ELETRÔNICA BÁSICA II,,,,,,,,,,,,,,,,,,,,,,,,
,EELI13,LABORATÓRIO DE ELETRÔNICA BÁSICA II,,,,,,,,,,,,,,,,,,,,,,,,
,EELI14,ELETRÔNICA DIGITAL,,5,5,1,0,3,0,0,0,0,1,0,0,1,2,0,3,2,0,5,1,0,0,34
,EELI15,LABORATÓRIO DE ELETRÔNICA DIGITAL,,5,5,1,0,3,0,0,0,0,1,0,0,1,2,0,3,2,0,5,1,0,3,37
7o,ECAI04,INTRODUÇÃO AOS SISTEMAS DE CONTROLE,,,,,,,,,,,,,,,,,,,,,,,,
,ECAI11,MICROCONTROLADORES,,,,,,,,,,,,,,,,,,,,,,,,
,ECAI13,LABORATÓRIO DE PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,,,,,,,,,,,,,,
,ECAI44,PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,,,,,,,,,,,,,,
,ECOI13,TEORIA DA COMPUTAÇÃO,,5,0,0,0,5,3,0,1,0,0,1,1,3,4,0,8,6,10,6,0,0,8,62
,ECOI18,PRINCÍPIOS DE COMUNICAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,
,ECOI19,LABORATÓRIOS DE PRINCÍPIOS DE COMUNICAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,
,ECOI33,CIRCUITOS INTEGRADOS DIGITAIS,,,,,,,,,,,,,,,,,,,,,,,,
8o,ECAI05,LABORATÓRIO DE SISTEMAS DE CONTROLE I,,,,,,,,,,,,,,,,,,,,,,,,
,ECAI07,AUTOMAÇÃO DE SISTEMAS INDUSTRIAIS,,,,,,,,,,,,,,,,,,,,,,,,
,ECOI07,SISTEMAS EMBARCADOS E DE TEMPO REAL,,,,,,,,,,,,,,,,,,,,,,,,
,ECOI21,REDES DE COMPUTADORES,,1,0,0,5,2,10,0,0,0,0,6,2,1,1,3,3,5,6,6,1,0,10,67
,ECOI24,COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DIGITAL DE IMAGENS,,,,,,,,,,,,,,,,,,,,,,,,0
,ECOI26,COMPILADORES,,6,3,0,2,3,4,1,1,0,0,1,2,0,2,0,3,2,1,3,2,0,7,44
,EPRI30,PESQUISA OPERACIONAL,,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,3,1,5,0,0,3,24
9o,EAMI30,CIÊNCIAS DO AMBIENTE,,0,0,0,0,0,0,3,0,0,0,0,0,0,6,10,6,3,5,7,0,2,10,52
,ECOI20,GESTÃO DE PROJETOS,,0,0,0,0,0,0,6,0,0,0,0,0,0,6,4,3,4,7,7,1,3,8,51
,ECOI22,INTELIGÊNCIA ARTIFICIAL,,,,,,,,,,,,,,,,,,,,,,,,
,ECOI23,SISTEMAS PARALELOS E DISTRIBUIDOS,,,,,,,,,,,,,,,,,,,,,,,,
,ECOI25,INTERFACE HOMEM-COMPUTADOR,,6,6,1,1,0,3,6,0,4,0,4,3,0,6,1,7,3,8,7,1,3,10,81
,EPRI02,ADMINISTRAÇÃO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,6,10,0,2,10,42
,EPRI04,INTRODUÇÃO À ECONOMIA,,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,5,6,6,10,0,6,10,60
,HUMI04,CIDADANIA E RESPONSABILIDADE SOCIAL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,8,1,10,0,1,10,50
