,,,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,
,EELI15,LABORATÓRIO DE ELETRÔNICA DIGITAL,3,,,,,,,,,,,,,,,,2,2,,1,1,,1,0
7o,ECAI04,INTRODUÇÃO AOS SISTEMAS DE CONTROLE,2,,,,,,,,,,,,,,,,2,2,,3,1,,,0
,ECAI11,MICROCONTROLADORES,,1,,,1,1,,,,,2,,1,1,,,1,1,,,1,,,0
,ECAI13,LABORATÓRIO DE PROCESSAMENTO DIGITAL DE SINAIS,2,1,,,,,,,,,,,2,,,,1,1,,1,,,2,0
,ECAI44,PROCESSAMENTO DIGITAL DE SINAIS,3,,,,,,,,,,,,2,,,,2,1,,,2,,,0
,ECOI13,TEORIA DA COMPUTAÇÃO,1,6,,,,,,,,,,,,,,,1,1,1,,,,,0
,ECOI18,PRINCÍPIOS DE COMUNICAÇÃO,3,,,,,,,,,,,,2,,,,2,1,,,2,,,0
,ECOI19,LABORATÓRIOS DE PRINCÍPIOS DE COMUNICAÇÃO,2,1,,,,,,,,,,,,,,,1,1,,1,,,4,0
,ECOI33,CIRCUITOS INTEGRADOS DIGITAIS,2,,,,,2,,,,,,,,,,,2,1,,2,1,,,0
8o,ECAI05,LABORATÓRIO DE SISTEMAS DE CONTROLE I,3,,,,,,,,,,,,,,,,3,3,,,1,,,0
,ECAI07,AUTOMAÇÃO DE SISTEMAS INDUSTRIAIS,2,,,,,,,,,,,,,4,1,,1,,,1,1,,,0
,ECOI07,SISTEMAS EMBARCADOS E DE TEMPO REAL,,1,,,1,1,,1,,,2,,1,,1,0,1,,,,1,,,0
,ECOI21,REDES DE COMPUTADORES,,1,,,,,,,,,,5,,,,,,1,,1,1,,1,0
,ECOI24,COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DIGITAL DE IMAGENS,,3,1,,,,,,,,,,,,,,1,1,1,1,1,,1,0
