,,,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,
,ECAI11,MICROCONTROLADORES,,,,,,,,,,,5,,,5,,,,,,,,,,0
,ECAI13,LABORATÓRIO DE PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,5,,,5,,,,,,,,,,0
,ECAI44,PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,5,,,5,,,,,,,,,,0
,ECOI13,TEORIA DA COMPUTAÇÃO,,9,,,,,,1,,,,,,,,,,,,,,,,0
,ECOI18,PRINCÍPIOS DE COMUNICAÇÃO,,,,,,,,,,,,,,,,3,,2,,5,,,,0
,ECOI19,LABORATÓRIOS DE PRINCÍPIOS DE COMUNICAÇÃO,,,,,,,,,,,,,,,,3,,2,,5,,,,0
,ECOI33,CIRCUITOS INTEGRADOS DIGITAIS,2,,,,,,,,,,,,,7,,,1,,,,,,,0
8o,ECAI05,LABORATÓRIO DE SISTEMAS DE CONTROLE I,,,,,,,,,,,5,,,5,,,,,,,,,,0
,ECAI07,AUTOMAÇÃO DE SISTEMAS INDUSTRIAIS,,,,,,,,,,,5,,,5,,,,,,,,,,0
,ECOI07,SISTEMAS EMBARCADOS E DE TEMPO REAL,,,,,,,,,,,5,,,5,,,,,,,,,,0
,ECOI21,REDES DE COMPUTADORES,,,,,,2,2,,,,,3,3,,,,,,,,,,,0
,ECOI24,COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DIGITAL DE IMAGENS,,6,,,,,,,2,,,,,,,,,,,,,,2,0
,ECOI26,COMPILADORES,,,,,,10,,,,,,,,,,,,,,,,,,0
,EPRI30,PESQUISA OPERACIONAL,2,,,,,,,,,,,,,,,,8,,,,,,,0
9o,EAMI30,CIÊNCIAS DO AMBIENTE,,,,,,,,,,,,,,,,,,8,2,,,,,0
,ECOI20,GESTÃO DE PROJETOS,,,,,,,,,,,,,,,5,,,,,5,,,,0
,ECOI22,INTELIGÊNCIA ARTIFICIAL,,2,,,,,,,8,,,,,,,,,,,,,,,0
,ECOI23,SISTEMAS PARALELOS E DISTRIBUIDOS,,,,,,,,5,,,,3,2,,,,,,,,,,,0
,ECOI25,INTERFACE HOMEM-COMPUTADOR,,,,,,,,8,,,,,,,,,,,,,,,2,0
,EPRI02,ADMINISTRAÇÃO,,,,,,,,,,,,,,,10,,,,,,,,,0
,EPRI04,INTRODUÇÃO À ECONOMIA,,,,,,,,,,,,,,,10,,,,,,,,,0
,HUMI04,CIDADANIA E RESPONSABILIDADE SOCIAL,,,,,,,,,,,,,,,,4,,5,,1,,,,0
