,,,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,
,EMTI03,LABORATÓRIO DE QUÍMICA GERAL,,,,,,,,,,,,,,,,,,,,,,,,10
,FISI02,FUNDAMENTOS DE MECÂNICA ONDULATÓRIA E TERMODINÂMICA,,,,,,,,,,,,,,,,,,,,,,,,10
,FISI03,LABORATÓRIO DE FÍSICA A,,,,,,,,,,,,,,,,,,,,,,,,10
,MATI03,CÁLCULO DIFERENCIAL E INTEGRAL II,,,,,,,,,,,,,,,,,,,,,,,,10
3o,ECOI08,ALGORITMOS E ESTRUTURA DE DADOS II,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI61,METODOLOGIA CIENTÍFICA PARA ENGENHARIA DA COMPUTAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,10
,EMBI02,RESISTÊNCIA DOS MATERIAIS I,,,,,,,,,,,,,,,,,,,,,,,,10
,EMEI07,FENÔMENOS DE TRANSPORTE,,,,,,,,,,,,,,,,,,,,,,,,10
,EMEI08,LABORATÓRIO DE FENÔMENOS DE TRANSPORTE,,,,,,,,,,,,,,,,,,,,,,,,10
,FISI04,FUNDAMENTOS DE ELETROMAGNETISMO,,,,,,,,,,,,,,,,,,,,,,,,10
,HUMI06,METODOLOGIA CIENTÍFICA,,,,,,,,,,,,,,,,,,,,,,,,10
,MATI06,CÁLCULO DIFERENCIAL E INTEGRAL III,,,,,,,,,,,,,,,,,,,,,,,,10
,MATI07,EQUAÇÕES DIFERENCIAIS I,,,,,,,,,,,,,,,,,,,,,,,,10
4o,ECOI09,LINGUAGENS DE PROGRAMAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,10
,EELI07,CIRCUITOS ELÉTRICOS I,,,,,,,,,,,,,,,,,,,,,,,,10
,FISI05,FUNDAMENTOS DE ÓTICA E FÍSICA MODERNA,,,,,,,,,,,,,,,,,,,,,,,,10
,FISI07,ELETROMAGNETISMO CLÁSSICO,,,,,,,,,,,,,,,,,,,,,,,,10
,MATI04,ÁLGEBRA LINEAR,,,,,,,,,,,,,,,,,,,,,,,,10
,MATI05,ESTATÍSTICA,,,,,,,,,,,,,,,,,,,,,,,,10
,MATI08,CÁLCULO NUMÉRICO,,,,,,,,,,,,,,,,,,,,,,,,10
5o,ECAI26,SINAIS E SISTEMAS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI10,LABORATÓRIO DE CIRCUITOS ELÉTRICOS I,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI11,PROJETO E ANÁLISE DE ALGORITMOS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI12,ARQUITETURA DE COMPUTADORES,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI14,BANCO DE DADOS,,,,,,,,,,,,,,,,,,,,,,,,10
,EELI10,ELETRÔNICA BÁSICA I,,,,,,,,,,,,,,,,,,,,,,,,10
,EELI11,LABORATÓRIO DE ELETRÔNICA BÁSICA I,,,,,,,,,,,,,,,,,,,,,,,,10
,FISI06,"LABORATÓRIO FÍSICA B (ELETROMAGNETISMO, ÓTICA E FÍSICA MODERNA)",,,,,,,,,,,,,,,,,,,,,,,,10
6o,ECAI29,MODELAGEM E ANÁLISE DE SISTEMAS DINÂMICOS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI15,SISTEMAS OPERACIONAIS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI16,ENGENHARIA DE SOFTWARE,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI32,CIRCUITOS INTEGRADOS ANALÓGICOS,,,,,,,,,,,,,,,,,,,,,,,,10
